url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
https://www.mytek.tn/telephone-portable-maxfone-16-max-noir.html,79.9,Téléphone Portable Maxfone 16 Max - Noir,MAXFONE,0.03125,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-maxfone-16-max-gold.html,79.9,Téléphone Portable Maxfone 16 Max - Gold,MAXFONE,0.03125,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-noir.html,59.0,Téléphone Portable NOKIA 105 CRAZY 5 - Noir,NOKIA,0.00390625,32.0,1.77,Inconnu,0
https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-bleuu.html,59.0,Téléphone Portable NOKIA 105 CRAZY 5 - Bleu,NOKIA,0.00390625,32.0,1.77,Inconnu,0
https://www.mytek.tn/telephone-portable-nokia-130-hmd-nina-dark-gray.html,89.0,Téléphone portable NOKIA 130 HMD Nina - Dark Gray,NOKIA,0.0078125,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-nokia-130-hmd-nina-bleu.html,89.0,Téléphone portable NOKIA HMD 130 Nina - Bleu,NOKIA,0.0078125,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-nokia-110-power-gris.html,99.0,Téléphone portable Nokia 110 Power - Gris,NOKIA,0.00390625,32.0,2.0,S30+,1
https://www.mytek.tn/telephone-portable-nokia-hmd-150-nina-dark-gray.html,109.0,Téléphone portable NOKIA HMD 150 Nina - Dark Gray,NOKIA,0.0078125,825.0,2.4,S30+,1
https://www.mytek.tn/telephone-portable-nokia-hmd-150-nina-purple.html,109.0,Téléphone portable NOKIA HMD 150 Nina - Purple,NOKIA,0.0078125,16.0,2.4,S30+,1
https://www.mytek.tn/telephone-portable-nokia-2660-flip-noir.html,249.0,Téléphone Portable NOKIA 2660 Flip - Noir,NOKIA,0.046875,181.0,2.8,S30+,0
https://www.mytek.tn/telephone-portable-philips-e2106-noir.html,45.9,"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Noir",PHILIPS,0.00390625,32.0,2.0,Autres,0
https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-bleu.html,45.9,"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Bleu",PHILIPS,0.00390625,32.0,2.0,Autres,0
https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-deep-blue.html,45.9,"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Deep Blue",PHILIPS,0.00390625,32.0,2.0,Autres,0
https://www.mytek.tn/telephone-portable-philips-e2130-deep-bleu.html,56.9,"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Deep Bleu",PHILIPS,0.00390625,32.0,2.0,Autres,0
https://www.mytek.tn/telephone-portable-philips-fun101-2-1500-mah-noir.html,56.9,"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Noir",PHILIPS,0.00390625,32.0,2.0,Autres,0
https://www.mytek.tn/telephone-portable-philips-xenium-210-noir.html,89.9,Téléphone Portable PHILIPS XENIUM 210 - Noir,PHILIPS,0.0078125,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-philips-e2830-3-0-2000-mah-gris.html,99.0,"Téléphone Portable PHILIPS E2830 3.0"" 2000 mAh - Gris",PHILIPS,0.0078125,32.0,3.0,Autres,0
https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,39.0,Téléphone Portable SMARTEC V2 - Noir,SMARTEC,0.03125,32.0,2.0,Inconnu,1
https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,39.0,Téléphone Portable SMARTEC V2 - Blanc,SMARTEC,0.03125,32.0,2.0,Inconnu,1
https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,39.0,Téléphone Portable SMARTEC V2 - Rose,SMARTEC,0.03125,32.0,2.0,Inconnu,1
https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,39.0,Téléphone Portable SMARTEC V2 - Bleu,SMARTEC,0.03125,32.0,2.0,Inconnu,1
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,39.0,"Téléphone Portable Smartec V1 Double SIM 2"" - Bleu",SMARTEC,0.03125,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,39.0,Téléphone Portable SMARTEC V1 Écran 2.0” 800mAh - Gris,SMARTEC,0.03125,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,39.0,"Téléphone Portable SMARTEC V1 Écran 2"" LCD 800 mAh - Noir",SMARTEC,0.03125,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,39.0,Téléphone Portable SMARTEC V1 Double SIM 800mAh - bleu foncé,SMARTEC,0.03125,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,59.0,Téléphone Portable SMARTEC POWER X1 1400 mAh - Noir,SMARTEC,0.03125,32.0,1.4,Autres,1
https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,59.0,Téléphone Portable SMARTEC POWER X1 Double SIM 1400 mAh - bleu,SMARTEC,0.03125,32.0,1.4,Autres,1
https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,85.0,Téléphone Portable SMARTEC F1 FLIP - Noir,SMARTEC,51.2109375,16.0,2.4,Inconnu,0
https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,85.0,Téléphone Portable SMARTEC F1 FLIP - Bleu,SMARTEC,51.2109375,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,85.0,Téléphone Portable SMARTEC F1 FLIP - Gris,SMARTEC,51.2109375,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,85.0,Téléphone Portable SMARTEC F1 FLIP - Rouge,SMARTEC,51.2109375,16.0,2.4,Inconnu,0
https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,UNIWA,16.0,19.2,1.77,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,36.9,TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,UNIWA,16.0,19.2,1.77,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,36.9,TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,UNIWA,16.0,19.2,1.77,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,36.9,TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,UNIWA,16.0,19.2,1.77,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,37.9,Téléphone Portable UNIWA E1801 - Rouge,UNIWA,0.03125,32.0,1.77,Inconnu,0
https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,37.9,Téléphone Portable UNIWA E1801 - Bleu,UNIWA,0.03125,32.0,1.77,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,49.0,Téléphone Portable UNIWA E1802 - Rouge,UNIWA,51.2109375,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,49.0,Téléphone Portable UNIWA E1802 - Gold,UNIWA,51.2109375,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,49.0,Téléphone Portable UNIWA E1802 - Bleu,UNIWA,51.2109375,16.0,2.4,Autres,0
https://www.mytek.tn/telephone-portable-x-tigi-kids1-rose.html,69.9,Téléphone Portable X-TIGI Kids1 - Rose,X-TIGI,0.0625,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-x-tigi-kids1-bleu.html,69.9,Téléphone Portable X-TIGI Kids1 - Bleu,X-TIGI,0.0625,32.0,2.0,Sans Système,1
https://www.mytek.tn/telephone-portable-x-tigi-kids1-violet.html,69.9,Téléphone Portable X-TIGI Kids1 - Violet,X-TIGI,0.0625,32.0,2.0,Autres,1
https://www.mytek.tn/telephone-portable-x-tigi-kids1-vert.html,69.9,Téléphone Portable X-TIGI Kids1 - Vert,X-TIGI,0.0203125,32.0,2.0,Sans Système,1
