cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/telephone-portable-ami-c14-style-3-bleu-champagne.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-style-4-noir.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-style-4-vert-noir.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-gris.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-style-4-bleu-noir.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-vert.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-vert.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-marron-fonce.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-noir.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-bleu-noir.html,telephones_portables,AMI,Économique,0
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-orange.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-gris.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-vert-silver.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-noir.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-bleu.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-vert.html,telephones_portables,AMI,Économique,1
https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,telephones_portables,SMARTEC,Économique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,telephones_portables,UNIWA,Gamme unique,profil_descriptif
https://www.mytek.tn/telephone-portable-evertek-ex18-orange.html,telephones_portables,EVERTEK,Gamme unique,profil_descriptif
